function_id,method,seed,run_idx,runtime_seconds
2,pca_bo,12,0,1500.098464
2,pca_bo_dynamic_orthogonal_v2,12,0,2954.638702
2,botorch_baseline,12,0,71.593213
2,pca_bo,13,1,1506.801443
2,pca_bo_dynamic_orthogonal_v2,13,1,1936.984078
2,botorch_baseline,13,1,69.127511
2,pca_bo,14,2,1409.491280
2,pca_bo_dynamic_orthogonal_v2,14,2,2606.968562
2,botorch_baseline,14,2,73.657081
2,pca_bo,15,3,1413.117103
2,pca_bo_dynamic_orthogonal_v2,15,3,1880.140421
2,botorch_baseline,15,3,69.499957
2,pca_bo,16,4,1377.363013
2,pca_bo_dynamic_orthogonal_v2,16,4,2565.707584
2,botorch_baseline,16,4,69.682739
2,pca_bo,17,5,1339.754939
2,pca_bo_dynamic_orthogonal_v2,17,5,2366.090370
2,botorch_baseline,17,5,72.536125
2,pca_bo,18,6,1135.297777
2,pca_bo_dynamic_orthogonal_v2,18,6,818.426290
2,botorch_baseline,18,6,70.135713
2,pca_bo,19,7,795.946374
2,pca_bo_dynamic_orthogonal_v2,19,7,2466.723474
2,botorch_baseline,19,7,70.071682
2,pca_bo,20,8,479.230384
2,pca_bo_dynamic_orthogonal_v2,20,8,2222.357703
2,botorch_baseline,20,8,66.087034
2,pca_bo,21,9,1450.180610
2,pca_bo_dynamic_orthogonal_v2,21,9,2947.031893
2,botorch_baseline,21,9,72.010849
2,pca_bo,22,10,2017.279688
2,pca_bo_dynamic_orthogonal_v2,22,10,3188.390017
2,botorch_baseline,22,10,71.102342
2,pca_bo,23,11,840.254205
2,pca_bo_dynamic_orthogonal_v2,23,11,1978.853879
2,botorch_baseline,23,11,69.929033
2,pca_bo,24,12,328.865491
2,pca_bo_dynamic_orthogonal_v2,24,12,2006.461482
2,botorch_baseline,24,12,69.367351
2,pca_bo,25,13,1369.499446
2,pca_bo_dynamic_orthogonal_v2,25,13,1918.418050
2,botorch_baseline,25,13,68.086133
2,pca_bo,26,14,1379.288616
2,pca_bo_dynamic_orthogonal_v2,26,14,2012.215006
2,botorch_baseline,26,14,66.116434
2,pca_bo,27,15,1656.841363
2,pca_bo_dynamic_orthogonal_v2,27,15,2587.748601
2,botorch_baseline,27,15,71.731496
2,pca_bo,28,16,1290.260848
2,pca_bo_dynamic_orthogonal_v2,28,16,1737.115400
2,botorch_baseline,28,16,68.138935
2,pca_bo,29,17,1333.931086
2,pca_bo_dynamic_orthogonal_v2,29,17,2432.125404
2,botorch_baseline,29,17,68.318170
2,pca_bo,30,18,1340.399187
2,pca_bo_dynamic_orthogonal_v2,30,18,1908.182682
2,botorch_baseline,30,18,86.700186
2,pca_bo,31,19,1442.150498
2,pca_bo_dynamic_orthogonal_v2,31,19,1534.415756
2,botorch_baseline,31,19,67.606178
2,pca_bo,32,20,1464.518135
2,pca_bo_dynamic_orthogonal_v2,32,20,2678.747839
2,botorch_baseline,32,20,67.129524
2,pca_bo,33,21,871.492891
2,pca_bo_dynamic_orthogonal_v2,33,21,2835.679762
2,botorch_baseline,33,21,64.841929
2,pca_bo,34,22,908.557114
2,pca_bo_dynamic_orthogonal_v2,34,22,2433.662532
2,botorch_baseline,34,22,67.523349
2,pca_bo,35,23,1320.289654
2,pca_bo_dynamic_orthogonal_v2,35,23,3001.259436
2,botorch_baseline,35,23,72.015351
2,pca_bo,36,24,787.149985
2,pca_bo_dynamic_orthogonal_v2,36,24,2441.572663
2,botorch_baseline,36,24,65.857904
2,pca_bo,37,25,939.955745
2,pca_bo_dynamic_orthogonal_v2,37,25,2452.076501
2,botorch_baseline,37,25,70.263931
2,pca_bo,38,26,1408.519230
2,pca_bo_dynamic_orthogonal_v2,38,26,2242.775044
2,botorch_baseline,38,26,71.529762
2,pca_bo,39,27,1512.491894
2,pca_bo_dynamic_orthogonal_v2,39,27,2433.769104
2,botorch_baseline,39,27,69.345870
2,pca_bo,40,28,1457.135628
2,pca_bo_dynamic_orthogonal_v2,40,28,2601.316291
2,botorch_baseline,40,28,68.456781
2,pca_bo,41,29,1520.518332
2,pca_bo_dynamic_orthogonal_v2,41,29,2474.663108
2,botorch_baseline,41,29,69.015026
